197;197;198;198;198;197;199;199;199;199;197;199;200;200;199;197;199;199;200;199;197;198;199;199;198
242;242;243;243;236;243;239;242;242;237;243;239;244;244;241;245;241;239;239;241;236;242;240;243;243
122;122;113;110;105;108;119;104;109;121;117;123;116;118;120;124;114;123;119;117;126;120;118;123;116
0,717647059;0,717647059;0,717647059;0,721568627;0,717647059;0,717647059;0,721568627;0,725490196;0,721568627;0,717647059;0,717647059;0,721568627;0,721568627;0,721568627;0,725490196;0,717647059;0,717647059;0,725490196;0,725490196;0,721568627;0,717647059;0,721568627;0,717647059;0,721568627;0,717647059
65;55;72;76;62;73;76;72;62;60;73;74;63;59;67;79;77;61;59;61;59;58;72;63;66
